"x"
"1" "tbodyacc-mean()-x"
"2" "tbodyacc-mean()-y"
"3" "tbodyacc-mean()-z"
"4" "tbodyacc-std()-x"
"5" "tbodyacc-std()-y"
"6" "tbodyacc-std()-z"
"7" "tgravityacc-mean()-x"
"8" "tgravityacc-mean()-y"
"9" "tgravityacc-mean()-z"
"10" "tgravityacc-std()-x"
"11" "tgravityacc-std()-y"
"12" "tgravityacc-std()-z"
"13" "tbodyaccjerk-mean()-x"
"14" "tbodyaccjerk-mean()-y"
"15" "tbodyaccjerk-mean()-z"
"16" "tbodyaccjerk-std()-x"
"17" "tbodyaccjerk-std()-y"
"18" "tbodyaccjerk-std()-z"
"19" "tbodygyro-mean()-x"
"20" "tbodygyro-mean()-y"
"21" "tbodygyro-mean()-z"
"22" "tbodygyro-std()-x"
"23" "tbodygyro-std()-y"
"24" "tbodygyro-std()-z"
"25" "tbodygyrojerk-mean()-x"
"26" "tbodygyrojerk-mean()-y"
"27" "tbodygyrojerk-mean()-z"
"28" "tbodygyrojerk-std()-x"
"29" "tbodygyrojerk-std()-y"
"30" "tbodygyrojerk-std()-z"
"31" "tbodyaccmag-mean()"
"32" "tbodyaccmag-std()"
"33" "tgravityaccmag-mean()"
"34" "tgravityaccmag-std()"
"35" "tbodyaccjerkmag-mean()"
"36" "tbodyaccjerkmag-std()"
"37" "tbodygyromag-mean()"
"38" "tbodygyromag-std()"
"39" "tbodygyrojerkmag-mean()"
"40" "tbodygyrojerkmag-std()"
"41" "fbodyacc-mean()-x"
"42" "fbodyacc-mean()-y"
"43" "fbodyacc-mean()-z"
"44" "fbodyacc-std()-x"
"45" "fbodyacc-std()-y"
"46" "fbodyacc-std()-z"
"47" "fbodyaccjerk-mean()-x"
"48" "fbodyaccjerk-mean()-y"
"49" "fbodyaccjerk-mean()-z"
"50" "fbodyaccjerk-std()-x"
"51" "fbodyaccjerk-std()-y"
"52" "fbodyaccjerk-std()-z"
"53" "fbodygyro-mean()-x"
"54" "fbodygyro-mean()-y"
"55" "fbodygyro-mean()-z"
"56" "fbodygyro-std()-x"
"57" "fbodygyro-std()-y"
"58" "fbodygyro-std()-z"
"59" "fbodyaccmag-mean()"
"60" "fbodyaccmag-std()"
"61" "fbodybodyaccjerkmag-mean()"
"62" "fbodybodyaccjerkmag-std()"
"63" "fbodybodygyromag-mean()"
"64" "fbodybodygyromag-std()"
"65" "fbodybodygyrojerkmag-mean()"
"66" "fbodybodygyrojerkmag-std()"
